Student_ID,Age,Gender,State,School_Type,Study_Hours_Per_Week,Attendance_Rate_Pct,Previous_Exam_Score_Pct,Mock_Exam_Score_Pct,Number_of_Subjects,Attends_Extra_Classes,Parental_Education_Level,Household_Income_Level,Distance_to_School_km,Has_Internet_Access,Has_Textbook_Access,WAEC_Pass_Likelihood_Pct,Predicted_Outcome
WAEC0041,15,Female,Anambra,Private,9.2,85.1,67.9,76.1,9,No,Tertiary,Middle,0.3,No,Yes,96.2,Pass
WAEC0042,18,Female,Lagos,Private,8.9,61.4,38.3,37.4,8,Yes,Primary,Low,7.8,Yes,Yes,15.0,Fail
WAEC0043,18,Female,Lagos,Public,18.6,73.4,67.5,62.5,8,Yes,Tertiary,Low,13.2,No,Yes,84.3,Pass
WAEC0044,16,Male,Enugu,Public,13.7,91.3,72.8,68.1,9,No,None,Low,8.5,No,Yes,25.6,Fail
WAEC0045,15,Female,Abia,Private,10.9,78.6,58.2,55.8,7,Yes,Secondary,Middle,9.4,Yes,Yes,40.6,Fail
WAEC0046,19,Male,Ondo,Private,14.5,75.9,52.4,55.6,9,Yes,Secondary,Middle,1.5,Yes,Yes,70.5,Pass
WAEC0047,17,Male,Benue,Public,1.5,98.8,61.0,65.5,9,No,Primary,Low,14.3,No,Yes,8.8,Fail
WAEC0048,19,Female,Cross River,Public,11.8,69.4,12.1,13.2,7,Yes,Tertiary,High,3.6,Yes,Yes,15.7,Fail
WAEC0049,18,Female,Benue,Private,22.0,72.4,59.5,58.3,7,Yes,Primary,High,0.8,Yes,No,44.2,Fail
WAEC0050,18,Female,Rivers,Public,12.7,84.5,53.3,52.8,8,Yes,Tertiary,Low,0.5,Yes,Yes,90.7,Pass
WAEC0051,18,Male,Osun,Public,12.3,86.7,54.2,82.3,7,No,Primary,Middle,1.2,No,Yes,13.7,Fail
WAEC0052,15,Female,Ondo,Private,14.7,88.0,65.6,60.9,8,No,Tertiary,Low,4.9,Yes,Yes,88.1,Pass
WAEC0053,16,Male,Oyo,Private,16.5,92.9,53.9,51.3,9,Yes,Secondary,High,11.4,No,No,51.9,Pass
WAEC0054,17,Female,Edo,Public,2.0,84.4,37.9,73.8,8,Yes,None,Low,1.8,Yes,No,10.7,Fail
WAEC0055,17,Female,Osun,Private,3.6,87.9,52.9,60.1,7,No,None,Low,4.8,Yes,No,20.2,Fail
WAEC0056,15,Female,Edo,Public,13.1,78.9,56.0,45.2,7,Yes,None,Middle,2.3,No,Yes,14.4,Fail
WAEC0057,17,Female,Osun,Private,8.4,82.8,56.7,68.1,9,No,Secondary,Low,0.2,Yes,Yes,67.2,Pass
WAEC0058,15,Female,Katsina,Public,18.6,83.3,57.4,51.3,7,No,Tertiary,Middle,0.8,Yes,Yes,13.4,Fail
WAEC0059,18,Male,Edo,Public,10.4,84.6,70.6,82.7,8,Yes,Secondary,Middle,0.5,Yes,Yes,88.2,Pass
WAEC0060,18,Male,Oyo,Public,2.3,91.3,38.7,39.6,9,Yes,Secondary,Low,3.7,No,Yes,1.4,Fail
WAEC0061,19,Male,Delta,Public,5.7,88.7,57.6,56.2,7,Yes,Secondary,Middle,0.2,Yes,Yes,61.0,Pass
WAEC0062,18,Female,Enugu,Private,0.0,82.5,74.3,93.4,8,Yes,Secondary,High,1.9,Yes,Yes,96.9,Pass
WAEC0063,16,Male,Edo,Public,10.8,72.3,29.0,37.7,8,Yes,Secondary,Middle,12.8,Yes,Yes,41.8,Fail
WAEC0064,19,Male,Abia,Public,11.1,82.8,57.7,70.4,7,No,Secondary,Middle,0.6,Yes,Yes,19.8,Fail
WAEC0065,17,Female,Edo,Public,9.9,81.7,46.2,53.5,8,Yes,Tertiary,Low,0.9,Yes,Yes,22.1,Fail
WAEC0066,16,Female,Rivers,Private,17.4,84.3,49.4,48.0,8,No,Tertiary,Low,1.1,Yes,No,26.5,Fail
WAEC0067,19,Female,Delta,Private,18.0,100.0,41.4,50.5,7,No,Secondary,High,4.0,Yes,Yes,76.1,Pass
WAEC0068,16,Female,Kwara,Private,11.1,75.7,52.5,67.6,9,Yes,None,Middle,4.5,Yes,No,5.3,Fail
WAEC0069,15,Female,Lagos,Public,1.3,87.1,82.6,86.9,8,Yes,Primary,Middle,0.9,No,Yes,64.3,Pass
WAEC0070,17,Male,Enugu,Public,15.1,94.8,36.0,57.0,7,Yes,Secondary,High,1.9,No,No,59.5,Pass
WAEC0071,18,Female,Ondo,Public,14.8,83.2,37.5,49.0,9,No,Secondary,Low,1.8,Yes,No,10.4,Fail
WAEC0072,15,Female,Oyo,Public,13.5,100.0,35.5,40.6,9,Yes,Tertiary,Middle,0.7,Yes,Yes,81.7,Pass
WAEC0073,17,Female,Ogun,Private,16.9,77.5,80.9,86.4,7,No,Secondary,Low,0.8,Yes,No,69.1,Pass
WAEC0074,15,Male,Enugu,Private,6.2,85.9,48.1,52.5,7,No,Secondary,Low,9.2,No,Yes,12.8,Fail
WAEC0075,18,Female,Kano,Public,22.0,72.4,54.6,45.1,8,No,Tertiary,Middle,0.4,Yes,Yes,12.0,Fail
WAEC0076,17,Female,Ogun,Public,7.2,77.8,49.0,51.1,8,No,Primary,Low,1.9,Yes,No,9.4,Fail
WAEC0077,16,Female,Imo,Private,15.7,85.0,40.8,46.0,9,No,Tertiary,High,0.5,Yes,Yes,50.3,Pass
WAEC0078,16,Male,Rivers,Public,3.6,92.2,51.5,50.3,8,No,None,Low,2.9,Yes,Yes,5.0,Fail
WAEC0079,17,Female,Oyo,Public,7.3,85.8,91.9,98.3,8,No,Secondary,High,4.7,Yes,Yes,89.5,Pass
WAEC0080,18,Female,Kano,Public,19.6,97.1,75.9,79.1,7,No,Tertiary,Middle,2.4,Yes,Yes,96.8,Pass
WAEC0081,19,Female,Kwara,Public,10.7,80.9,42.2,52.9,8,No,Tertiary,Middle,1.3,No,Yes,37.2,Fail
WAEC0082,17,Male,Ondo,Public,16.2,78.0,64.7,74.3,9,No,Tertiary,High,4.3,No,Yes,80.7,Pass
WAEC0083,15,Female,Rivers,Public,13.2,100.0,42.5,47.2,8,No,Secondary,Middle,1.2,No,Yes,8.9,Fail
WAEC0084,19,Female,Delta,Public,11.5,86.7,28.4,17.7,8,No,Tertiary,Low,7.2,No,Yes,12.9,Fail
WAEC0085,18,Male,Delta,Private,18.8,73.4,70.3,91.2,7,No,Secondary,Low,1.2,Yes,Yes,67.4,Pass
WAEC0086,18,Female,Anambra,Public,10.8,73.7,72.4,74.0,9,No,Secondary,Low,1.0,No,Yes,67.8,Pass
WAEC0087,15,Male,Enugu,Public,3.1,70.7,70.7,72.9,7,Yes,None,High,10.7,No,Yes,19.5,Fail
WAEC0088,16,Female,Oyo,Private,8.0,93.2,48.0,47.6,7,No,Primary,Middle,11.2,No,Yes,19.3,Fail
WAEC0089,18,Male,Imo,Private,14.8,77.6,52.5,50.6,7,No,Secondary,Low,1.2,No,Yes,64.1,Pass
WAEC0090,19,Female,Anambra,Public,14.0,83.5,66.2,84.6,9,No,None,Low,10.5,Yes,No,9.8,Fail
WAEC0091,17,Female,Delta,Public,4.2,81.2,60.9,77.8,8,Yes,Tertiary,Middle,11.0,Yes,No,28.1,Fail
WAEC0092,19,Female,Kaduna,Private,8.4,90.8,49.1,56.5,9,No,Tertiary,Middle,1.4,Yes,Yes,98.3,Pass
WAEC0093,19,Female,Katsina,Public,9.1,71.8,30.7,32.6,8,No,Tertiary,Low,8.3,Yes,Yes,3.8,Fail
WAEC0094,16,Female,Cross River,Public,10.2,69.1,56.7,65.9,8,No,Primary,Middle,26.2,Yes,No,6.3,Fail
WAEC0095,19,Male,Ogun,Private,5.1,84.7,71.2,74.9,8,No,Tertiary,Middle,0.2,Yes,No,82.6,Pass
WAEC0096,16,Male,Enugu,Public,8.9,89.2,37.0,38.1,7,No,None,Middle,6.9,Yes,Yes,13.3,Fail
WAEC0097,16,Female,Osun,Private,8.4,86.0,64.6,71.0,8,No,Secondary,Low,0.2,No,Yes,42.9,Fail
WAEC0098,18,Female,Ondo,Public,15.9,72.3,60.0,58.6,9,Yes,Tertiary,Middle,9.1,No,Yes,55.6,Pass
WAEC0099,18,Male,Lagos,Private,16.0,90.1,66.3,71.8,9,No,None,Low,0.7,No,Yes,25.0,Fail
WAEC0100,15,Male,Katsina,Public,11.3,73.1,68.1,73.1,8,Yes,None,Low,6.8,Yes,No,5.3,Fail
WAEC0101,19,Female,Kwara,Public,10.0,75.7,44.6,53.6,9,No,None,Middle,1.0,No,Yes,61.4,Pass
WAEC0102,15,Female,Oyo,Public,12.7,70.7,30.7,27.5,9,No,Secondary,Middle,1.6,No,Yes,11.2,Fail
WAEC0103,19,Male,Benue,Public,7.9,97.6,47.0,57.1,8,Yes,Tertiary,Low,1.5,No,Yes,68.2,Pass
WAEC0104,15,Male,Kano,Private,6.3,89.6,68.3,62.2,8,Yes,Primary,High,1.7,No,No,55.8,Pass
WAEC0105,18,Male,Oyo,Public,7.3,89.3,46.9,44.2,7,Yes,Primary,Low,8.4,Yes,Yes,14.1,Fail
WAEC0106,18,Female,Kano,Public,8.8,97.0,44.6,42.3,7,No,Secondary,Middle,2.0,Yes,No,18.3,Fail
WAEC0107,18,Male,Edo,Private,6.2,100.0,27.7,20.0,9,No,Primary,High,2.5,No,Yes,4.7,Fail
WAEC0108,18,Female,Cross River,Private,12.8,61.5,81.3,94.5,7,Yes,Tertiary,Middle,0.2,No,Yes,89.7,Pass
WAEC0109,17,Male,Ogun,Public,15.6,73.1,67.4,60.7,8,No,Tertiary,High,2.5,Yes,Yes,62.5,Pass
WAEC0110,18,Male,Kano,Public,4.1,74.6,66.5,62.5,9,Yes,Tertiary,Middle,1.2,Yes,Yes,92.8,Pass
WAEC0111,16,Female,Rivers,Private,12.1,71.8,69.5,85.1,7,No,Tertiary,Middle,1.6,Yes,No,42.5,Fail
WAEC0112,18,Female,Ondo,Private,10.9,69.1,63.7,61.0,9,Yes,Secondary,Middle,5.0,Yes,Yes,61.6,Pass
WAEC0113,17,Female,Borno,Private,13.7,78.4,51.3,52.4,8,Yes,Tertiary,Middle,1.4,No,Yes,55.0,Pass
WAEC0114,17,Female,Benue,Private,11.9,67.4,52.5,45.4,7,Yes,Primary,Low,1.8,No,Yes,69.8,Pass
WAEC0115,17,Female,Kano,Private,4.7,86.0,48.6,59.9,7,No,None,Middle,4.2,Yes,Yes,12.1,Fail
WAEC0116,17,Female,Osun,Public,5.7,82.6,94.5,100.0,9,No,Secondary,Low,1.6,Yes,Yes,78.2,Pass
WAEC0117,15,Female,Kwara,Public,12.1,87.8,63.3,73.7,9,No,None,High,4.6,Yes,No,56.0,Pass
WAEC0118,15,Male,Imo,Public,17.1,88.1,48.0,56.4,9,No,Tertiary,Low,0.8,Yes,Yes,40.3,Fail
WAEC0119,16,Male,Kano,Private,0.9,89.2,62.0,65.7,9,Yes,Secondary,Low,0.3,Yes,Yes,30.6,Fail
WAEC0120,15,Female,Borno,Private,13.7,77.5,39.8,37.6,7,Yes,Tertiary,High,1.2,No,Yes,38.3,Fail
WAEC0121,17,Male,Ogun,Public,17.9,100.0,77.6,72.5,9,Yes,Secondary,Low,3.3,No,Yes,86.2,Pass
WAEC0122,18,Female,Lagos,Public,11.2,84.8,45.1,61.0,7,No,Secondary,Low,1.0,Yes,Yes,7.7,Fail
WAEC0123,18,Female,Enugu,Public,14.8,59.7,62.5,73.1,7,Yes,Tertiary,Middle,20.4,No,Yes,58.6,Pass
WAEC0124,17,Male,Ogun,Private,8.5,70.0,71.0,67.1,9,No,Primary,Low,4.3,No,Yes,28.1,Fail
WAEC0125,19,Female,Oyo,Public,11.4,61.1,60.8,64.2,8,Yes,Secondary,Low,1.7,Yes,No,42.9,Fail
WAEC0126,17,Male,Delta,Public,3.9,82.2,56.4,56.4,8,Yes,Secondary,Middle,19.9,No,No,30.7,Fail
WAEC0127,15,Female,Edo,Public,0.3,80.5,55.2,46.9,9,Yes,Tertiary,Low,1.9,No,No,10.8,Fail
WAEC0128,18,Male,Katsina,Public,16.7,76.4,54.2,59.0,7,Yes,Tertiary,Low,0.2,No,Yes,26.7,Fail
WAEC0129,17,Male,Oyo,Public,7.1,100.0,46.3,45.1,8,No,Primary,Low,2.6,Yes,Yes,30.5,Fail
WAEC0130,18,Female,Abia,Public,9.7,88.6,48.3,41.8,9,No,Secondary,Low,5.0,Yes,No,6.9,Fail
WAEC0131,17,Female,Katsina,Public,5.1,90.7,77.2,65.4,8,Yes,Secondary,Low,1.4,Yes,Yes,6.3,Fail
WAEC0132,17,Male,Osun,Public,5.0,70.8,53.4,40.8,8,No,Primary,Low,0.4,Yes,Yes,20.9,Fail
WAEC0133,15,Female,Katsina,Public,11.1,70.0,43.2,42.5,8,No,Secondary,Middle,11.7,Yes,Yes,6.4,Fail
WAEC0134,17,Female,Rivers,Public,8.4,82.4,47.3,49.4,9,No,Primary,Middle,2.2,No,No,17.9,Fail
WAEC0135,18,Male,Osun,Public,13.9,84.1,71.5,65.7,7,No,Primary,Low,5.3,Yes,Yes,66.3,Pass
WAEC0136,16,Female,Borno,Private,14.3,59.7,65.1,74.6,9,No,Secondary,Low,7.5,Yes,Yes,42.9,Fail
WAEC0137,18,Female,Delta,Public,13.6,79.8,63.4,65.7,9,No,Primary,High,3.4,No,Yes,66.8,Pass
WAEC0138,15,Male,Edo,Public,13.2,82.2,51.1,59.9,9,No,Secondary,Middle,3.1,Yes,Yes,48.6,Fail
WAEC0139,16,Female,Imo,Public,19.9,79.4,63.6,64.8,8,No,Primary,Middle,2.7,Yes,Yes,83.4,Pass
WAEC0140,17,Female,Edo,Public,6.7,72.2,45.3,40.4,8,No,Tertiary,Middle,11.6,No,Yes,6.5,Fail
WAEC0141,19,Female,Kaduna,Public,11.7,75.5,51.1,55.2,8,Yes,Primary,Low,1.6,Yes,Yes,28.4,Fail
WAEC0142,16,Female,Borno,Public,17.7,79.9,69.5,59.9,7,No,Tertiary,High,5.8,Yes,No,79.9,Pass
WAEC0143,16,Female,Borno,Private,18.3,83.1,68.1,76.5,9,No,None,High,3.3,No,No,37.0,Fail
WAEC0144,17,Male,Anambra,Public,4.9,89.3,40.3,33.9,8,Yes,Secondary,High,0.5,Yes,Yes,84.6,Pass
WAEC0145,19,Female,Osun,Public,10.4,95.0,42.2,54.4,9,No,Secondary,Low,4.9,Yes,No,10.2,Fail
WAEC0146,19,Male,Anambra,Public,18.8,78.5,56.6,56.2,7,No,Primary,Low,7.4,Yes,Yes,71.2,Pass
WAEC0147,15,Female,Benue,Public,14.5,76.5,80.9,94.5,9,Yes,Secondary,Low,1.9,No,No,94.0,Pass
WAEC0148,16,Male,Abia,Public,13.0,87.3,26.3,18.1,8,No,Tertiary,Low,4.0,Yes,Yes,21.5,Fail
WAEC0149,19,Male,Edo,Private,10.9,89.3,59.2,55.4,9,No,Tertiary,Low,2.3,No,Yes,68.4,Pass
WAEC0150,15,Male,Kano,Private,10.1,76.8,34.4,41.2,7,No,Secondary,Middle,0.2,Yes,Yes,75.7,Pass
WAEC0151,19,Female,Kwara,Public,13.4,91.5,45.5,60.2,8,Yes,Primary,Low,1.9,No,Yes,8.0,Fail
WAEC0152,16,Male,Delta,Public,10.7,93.8,49.5,69.2,8,Yes,Tertiary,High,2.2,Yes,Yes,54.7,Pass
WAEC0153,19,Male,Enugu,Public,11.8,97.5,48.7,52.1,8,No,Secondary,Low,28.2,Yes,Yes,35.5,Fail
WAEC0154,16,Female,Rivers,Public,12.4,100.0,47.0,68.4,7,Yes,Primary,Low,4.2,Yes,Yes,47.3,Fail
WAEC0155,17,Female,Borno,Private,8.6,71.6,55.1,55.2,8,Yes,Tertiary,High,0.9,No,Yes,78.2,Pass
WAEC0156,18,Male,Kano,Public,14.7,82.2,47.0,61.0,7,Yes,Secondary,Middle,2.3,Yes,Yes,64.0,Pass
WAEC0157,15,Female,Benue,Public,26.6,82.1,33.1,26.7,8,Yes,Secondary,Low,0.5,Yes,No,1.9,Fail
WAEC0158,17,Male,Ondo,Private,3.1,80.8,66.7,73.9,7,No,Secondary,Middle,8.7,Yes,Yes,55.5,Pass
WAEC0159,17,Male,Lagos,Public,13.6,74.2,66.3,45.9,8,No,Secondary,Low,8.8,Yes,No,6.9,Fail
WAEC0160,18,Female,Abia,Public,8.2,64.2,67.6,59.4,8,No,Primary,Low,6.4,No,Yes,24.8,Fail
WAEC0161,19,Male,Abia,Private,14.9,83.1,31.9,39.6,7,No,Tertiary,Middle,1.4,Yes,Yes,82.1,Pass
WAEC0162,18,Female,Anambra,Public,12.2,72.8,59.5,49.4,9,Yes,Primary,Low,0.2,Yes,Yes,48.3,Fail
WAEC0163,17,Female,Kwara,Public,15.8,83.0,65.1,72.4,9,Yes,Tertiary,Middle,1.8,Yes,Yes,90.3,Pass
WAEC0164,17,Female,Ogun,Public,17.9,72.5,39.5,51.6,7,Yes,Tertiary,Low,9.1,Yes,Yes,9.9,Fail
WAEC0165,17,Male,Ogun,Private,13.0,68.8,55.1,53.1,7,Yes,Tertiary,Middle,7.9,Yes,No,81.1,Pass
WAEC0166,19,Female,Ogun,Public,17.7,84.8,53.3,46.6,9,Yes,None,Middle,0.6,Yes,Yes,59.5,Pass
WAEC0167,16,Female,Osun,Public,0.3,83.8,82.6,80.9,7,Yes,Primary,Low,4.1,Yes,No,72.2,Pass
WAEC0168,15,Male,Cross River,Public,20.0,89.0,83.9,77.2,9,Yes,Secondary,Low,2.3,No,Yes,97.0,Pass
WAEC0169,16,Male,Anambra,Public,13.9,100.0,30.0,32.0,8,Yes,Secondary,Middle,4.2,Yes,Yes,11.0,Fail
WAEC0170,15,Male,Katsina,Private,17.4,85.3,92.4,96.4,8,No,Tertiary,Middle,4.4,No,Yes,85.8,Pass
WAEC0171,15,Female,Osun,Public,5.9,87.8,41.3,41.2,7,No,Secondary,Middle,0.4,Yes,No,10.6,Fail
WAEC0172,15,Female,Katsina,Public,7.8,69.1,69.7,89.4,8,No,Tertiary,Middle,2.0,Yes,Yes,73.2,Pass
WAEC0173,18,Male,Plateau,Public,12.7,66.6,69.6,65.4,7,No,Primary,Middle,0.9,Yes,Yes,37.9,Fail
WAEC0174,18,Female,Anambra,Private,11.9,100.0,40.1,57.0,8,No,Secondary,Low,3.0,Yes,Yes,37.4,Fail
WAEC0175,18,Female,Benue,Public,13.4,70.9,62.4,55.0,8,Yes,None,Middle,0.6,No,Yes,60.1,Pass
WAEC0176,17,Female,Delta,Private,17.4,69.5,53.4,57.1,7,No,Tertiary,Low,1.5,No,No,12.0,Fail
WAEC0177,18,Male,Kaduna,Private,3.2,81.5,63.3,78.1,8,Yes,Primary,Middle,1.8,No,No,23.9,Fail
WAEC0178,15,Male,Edo,Public,16.9,80.9,58.5,72.8,8,Yes,Primary,Low,2.2,No,No,8.6,Fail
WAEC0179,19,Male,Borno,Private,12.0,71.2,72.9,71.7,9,Yes,Tertiary,Low,6.5,Yes,No,60.5,Pass
WAEC0180,17,Female,Abia,Private,11.0,78.3,56.1,64.7,7,Yes,Secondary,Middle,0.2,Yes,No,37.4,Fail
WAEC0181,19,Female,Anambra,Public,4.6,96.8,52.5,59.7,9,Yes,None,Middle,9.0,No,Yes,22.7,Fail
WAEC0182,15,Female,Edo,Private,14.5,72.3,71.4,69.0,9,No,None,Middle,2.9,Yes,Yes,41.5,Fail
WAEC0183,17,Male,Kaduna,Public,0.0,65.3,63.7,72.9,9,No,Secondary,Middle,3.8,Yes,Yes,19.1,Fail
WAEC0184,18,Male,Kwara,Private,15.2,93.3,66.0,87.6,9,No,Secondary,High,0.5,No,Yes,93.8,Pass
WAEC0185,17,Male,Anambra,Private,4.5,87.9,45.0,52.7,8,No,Primary,High,3.6,No,Yes,34.5,Fail
WAEC0186,17,Female,Abia,Public,12.3,74.6,39.3,48.0,9,No,Secondary,High,2.0,No,Yes,60.8,Pass
WAEC0187,15,Male,Anambra,Private,11.4,63.0,46.5,56.2,9,Yes,Primary,Middle,0.6,Yes,No,36.4,Fail
WAEC0188,16,Female,Delta,Public,17.8,73.1,45.7,34.1,8,No,Secondary,Middle,3.9,No,No,14.5,Fail
WAEC0189,16,Female,Borno,Private,11.1,81.3,66.8,74.4,7,No,Secondary,Middle,0.6,Yes,Yes,60.8,Pass
WAEC0190,16,Male,Delta,Private,8.5,96.0,69.6,62.4,8,Yes,Primary,Middle,0.6,Yes,No,71.4,Pass
WAEC0191,18,Male,Oyo,Public,9.5,69.6,52.7,49.8,9,Yes,Primary,Low,14.7,Yes,Yes,28.1,Fail
WAEC0192,18,Male,Anambra,Public,18.4,81.0,76.5,100.0,9,No,Primary,Middle,2.9,No,Yes,41.2,Fail
WAEC0193,18,Female,Imo,Public,14.7,90.1,75.5,76.0,8,No,None,Low,6.6,No,Yes,28.1,Fail
WAEC0194,16,Female,Oyo,Public,10.1,53.4,58.7,54.3,7,No,Secondary,Low,0.3,No,Yes,6.1,Fail
WAEC0195,19,Male,Delta,Public,10.8,94.4,42.7,57.2,9,No,Tertiary,High,2.0,Yes,Yes,82.5,Pass
WAEC0196,15,Male,Rivers,Public,4.2,67.8,78.6,72.1,7,Yes,Tertiary,Low,0.5,Yes,Yes,52.7,Pass
WAEC0197,16,Female,Imo,Public,13.9,86.0,54.1,52.6,7,No,Secondary,Middle,0.8,Yes,Yes,72.3,Pass
WAEC0198,15,Male,Plateau,Public,3.2,85.0,56.9,72.4,8,Yes,Secondary,Middle,5.9,No,Yes,54.6,Pass
WAEC0199,16,Male,Borno,Private,15.8,95.0,49.9,53.3,9,Yes,Secondary,Low,1.9,Yes,No,89.6,Pass
WAEC0200,19,Male,Anambra,Private,12.6,88.6,41.7,29.1,7,No,Tertiary,High,21.7,Yes,Yes,17.6,Fail
WAEC0201,16,Male,Ondo,Private,23.9,53.5,33.0,41.4,8,Yes,Primary,Low,0.4,No,Yes,4.5,Fail
WAEC0202,19,Male,Enugu,Public,6.5,72.6,64.5,63.5,7,No,Primary,High,2.1,Yes,Yes,24.4,Fail
